lat lon r
21.5702 2.9876 0.0022
20.0826 2.9876 -0.0020
18.5950 2.9876 0.0018
17.1074 2.9876 -0.0017
15.6198 2.9876 0.0015
14.1322 2.9876 -0.0013
12.6446 2.9876 0.0012
11.1570 2.9876 -0.0010
9.6694 2.9876 0.0009
8.1818 2.9876 -0.0007
6.6942 2.9876 0.0006
5.2066 2.9876 -0.0005
3.7190 2.9876 0.0004
2.2314 2.9876 -0.0002
0.7438 2.9876 0.0001
-0.7438 2.9876 -0.0000
-2.2314 2.9876 -0.0001
-3.7190 2.9876 0.0001
-5.2066 2.9876 -0.0002
-6.6942 2.9876 0.0003
-8.1818 2.9876 -0.0004
-9.6694 2.9876 0.0005
-11.1570 2.9876 -0.0005
-12.6446 2.9876 0.0006
-14.1322 2.9876 -0.0006
-15.6198 2.9876 0.0007
-17.1074 2.9876 -0.0007
-18.5950 2.9876 0.0008
-20.0826 2.9876 -0.0008
-21.5702 2.9876 0.0009
-23.0579 2.9876 -0.0009
-24.5455 2.9876 0.0009
-26.0331 2.9876 -0.0009
-27.5207 2.9876 0.0010
-29.0083 2.9876 -0.0010
-30.4959 2.9876 0.0010
-31.9835 2.9876 -0.0010
-33.4711 2.9876 0.0010
-34.9587 2.9876 -0.0010
-36.4463 2.9876 0.0010
-37.9339 2.9876 -0.0010
-39.4215 2.9876 0.0010
-40.9091 2.9876 -0.0010
-42.3967 2.9876 0.0010
-43.8843 2.9876 -0.0010
-45.3719 2.9876 0.0009
-46.8595 2.9876 -0.0009
-48.3471 2.9876 0.0009
-49.8347 2.9876 -0.0009
-51.3223 2.9876 0.0008
-52.8099 2.9876 -0.0008
-54.2975 2.9876 0.0007
-55.7851 2.9876 -0.0007
-57.2727 2.9876 0.0007
-58.7603 2.9876 -0.0006
-60.2479 2.9876 0.0005
-61.7355 2.9876 -0.0005
-63.2231 2.9876 0.0004
-64.7107 2.9876 -0.0004
-66.1983 2.9876 0.0003
-67.6860 2.9876 -0.0002
-69.1736 2.9876 0.0002
-70.6612 2.9876 -0.0001
-72.1488 2.9876 0.0000
-73.6364 2.9876 0.0001
-75.1240 2.9876 -0.0001
-76.6116 2.9876 0.0002
-78.0992 2.9876 -0.0003
-79.5868 2.9876 0.0003
-81.0744 2.9876 -0.0004
-82.5620 2.9876 0.0004
-84.0496 2.9876 -0.0004
-85.5372 2.9876 0.0004
-87.0248 2.9876 -0.0003
-88.5124 2.9876 0.0003
-90.0000 2.9876 -0.0001
90.0000 4.4813 0.0001
88.5124 4.4813 -0.0006
87.0248 4.4813 0.0004
85.5372 4.4813 0.0003
84.0496 4.4813 -0.0014
82.5620 4.4813 0.0028
81.0744 4.4813 -0.0038
79.5868 4.4813 0.0036
78.0992 4.4813 -0.0010
76.6116 4.4813 -0.0038
75.1240 4.4813 0.0065
73.6364 4.4813 0.0001
72.1488 4.4813 -0.0066
70.6612 4.4813 -0.0075
69.1736 4.4813 -0.0081
67.6860 4.4813 -0.0091
66.1983 4.4813 -0.0144
64.7107 4.4813 -0.0225
63.2231 4.4813 -0.0138
61.7355 4.4813 0.0133
60.2479 4.4813 0.0079
58.7603 4.4813 -0.0124
57.2727 4.4813 0.0065
55.7851 4.4813 -0.0006
54.2975 4.4813 -0.0027
52.8099 4.4813 0.0042
51.3223 4.4813 -0.0046
49.8347 4.4813 0.0046
48.3471 4.4813 -0.0042
46.8595 4.4813 0.0038
45.3719 4.4813 -0.0031
43.8843 4.4813 0.0025
42.3967 4.4813 -0.0018
40.9091 4.4813 0.0011
39.4215 4.4813 -0.0005
37.9339 4.4813 -0.0001
36.4463 4.4813 0.0006
34.9587 4.4813 -0.0010
33.4711 4.4813 0.0014
31.9835 4.4813 -0.0017
30.4959 4.4813 0.0019
29.0083 4.4813 -0.0021
27.5207 4.4813 0.0022
26.0331 4.4813 -0.0023
24.5455 4.4813 0.0023
23.0579 4.4813 -0.0023
21.5702 4.4813 0.0023
20.0826 4.4813 -0.0023
18.5950 4.4813 0.0022
17.1074 4.4813 -0.0022
15.6198 4.4813 0.0021
14.1322 4.4813 -0.0020
12.6446 4.4813 0.0019
11.1570 4.4813 -0.0018
9.6694 4.4813 0.0017
8.1818 4.4813 -0.0016
6.6942 4.4813 0.0015
5.2066 4.4813 -0.0013
3.7190 4.4813 0.0012
2.2314 4.4813 -0.0011
0.7438 4.4813 0.0010
-0.7438 4.4813 -0.0009
-2.2314 4.4813 0.0008
-3.7190 4.4813 -0.0007
-5.2066 4.4813 0.0006
-6.6942 4.4813 -0.0005
-8.1818 4.4813 0.0004
-9.6694 4.4813 -0.0003
-11.1570 4.4813 0.0002
-12.6446 4.4813 -0.0001
-14.1322 4.4813 0.0000
-15.6198 4.4813 0.0000
-17.1074 4.4813 -0.0001
-18.5950 4.4813 0.0002
-20.0826 4.4813 -0.0003
-21.5702 4.4813 0.0003
-23.0579 4.4813 -0.0004
-24.5455 4.4813 0.0004
-26.0331 4.4813 -0.0005
-27.5207 4.4813 0.0006
-29.0083 4.4813 -0.0006
-30.4959 4.4813 0.0007
-31.9835 4.4813 -0.0007
-33.4711 4.4813 0.0007
-34.9587 4.4813 -0.0008
-36.4463 4.4813 0.0008
-37.9339 4.4813 -0.0008
-39.4215 4.4813 0.0009
-40.9091 4.4813 -0.0009
-42.3967 4.4813 0.0009
-43.8843 4.4813 -0.0009
-45.3719 4.4813 0.0009
-46.8595 4.4813 -0.0009
-48.3471 4.4813 0.0009
-49.8347 4.4813 -0.0009
-51.3223 4.4813 0.0009
-52.8099 4.4813 -0.0009
-54.2975 4.4813 0.0009
-55.7851 4.4813 -0.0008
-57.2727 4.4813 0.0008
-58.7603 4.4813 -0.0008
-60.2479 4.4813 0.0007
-61.7355 4.4813 -0.0007
-63.2231 4.4813 0.0006
-64.7107 4.4813 -0.0006
-66.1983 4.4813 0.0005
-67.6860 4.4813 -0.0004
-69.1736 4.4813 0.0003
-70.6612 4.4813 -0.0003
-72.1488 4.4813 0.0002
-73.6364 4.4813 -0.0001
-75.1240 4.4813 0.0000
-76.6116 4.4813 0.0001
-78.0992 4.4813 -0.0002
-79.5868 4.4813 0.0002
-81.0744 4.4813 -0.0003
-82.5620 4.4813 0.0003
-84.0496 4.4813 -0.0004
-85.5372 4.4813 0.0004
-87.0248 4.4813 -0.0003
-88.5124 4.4813 0.0003
-90.0000 4.4813 -0.0001
90.0000 5.9751 0.0001
